,TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I,Wheel_Speed,Power,Incremental_Energy,Total_Energy,adjusted_time_ms,time_on_video
15288,1718634668034.088,41.2804,502.809,1228.7,11.4716,9.462999044386212,5768.023724400001,51.9122135196,210551.5515465816,31764460.432854354,529:24.46
15289,1718634668043.088,42.2,503.291,1234.25,11.372200000000001,9.505743119177733,5723.525910200001,51.511733191800005,210603.0632797734,31764469.30163799,529:24.47
15290,1718634668052.0876,42.1314,502.043,1249.64,11.532,9.62427128332936,5789.559876,52.106038884,210655.1693186574,31764478.17042162,529:24.48
15291,1718634668061.0874,42.0,500.061,1270.57,11.891,9.785466505921534,5946.225351,53.516028158999994,210708.6853468164,31764487.03920525,529:24.49
15292,1718634668070.0872,41.5198,499.739,1295.26,12.1757,9.975619876480575,6084.6721423,54.7620492807,210763.4473960971,31764495.907988884,529:24.50
15293,1718634668079.087,40.6,499.968,1321.57,12.3712,10.178249895897684,6185.2041216,55.666837094399995,210819.1142331915,31764504.776772514,529:24.50
15294,1718634668088.0867,40.3256,499.339,1344.17,12.56,10.352306849102801,6271.69784,56.44528055999999,210875.5595137515,31764513.64555615,529:24.51
15295,1718634668097.0864,39.8,499.661,1359.39,12.700899999999999,10.46952573528784,6346.1443948999995,57.11529955409999,210932.6748133056,31764522.51433978,529:24.52
15296,1718634668106.086,39.8,499.64,1363.3,12.841700000000001,10.499639128519346,6416.226988,57.746042892,210990.4208561976,31764531.38312341,529:24.53
15297,1718634668115.0857,39.4229,501.007,1357.52,12.8034,10.455123677655383,6414.5930238,57.731337214199996,211048.1521934118,31764540.251907043,529:24.54
15298,1718634668124.0854,38.7,501.001,1340.44,12.7449,10.32357975018886,6385.2076449,57.466868804099995,211105.6190622159,31764549.120690674,529:24.55
15299,1718634668133.0852,38.7,502.139,1317.83,12.289100000000001,10.149445780632766,6170.836384900001,55.5375274641,211161.15658968,31764557.989474308,529:24.56
15300,1718634668142.0847,38.7,502.368,1304.46,11.6429,10.046474919378234,5849.020387199999,52.64118348479999,211213.7977731648,31764566.85825794,529:24.57
15301,1718634668151.0847,39.4198,501.531,1312.25,11.307799999999999,10.106470656788316,5671.212241799999,51.040910176199986,211264.83868334102,31764575.727041572,529:24.58
15302,1718634668160.0845,40.8,501.416,1343.89,11.3469,10.350150391275482,5689.5172104,51.2056548936,211316.0443382346,31764584.595825203,529:24.58
15303,1718634668169.0842,40.1489,501.383,1391.35,11.549100000000001,10.71566999300623,5790.5224053,52.114701647699995,211368.1590398823,31764593.464608833,529:24.59
15304,1718634668178.084,39.2084,499.699,1437.57,12.292,11.071639567215987,6142.300108,55.280700972,211423.43974085432,31764602.333392467,529:24.60
15305,1718634668187.0835,39.8,498.607,1469.24,13.028,11.31555035075608,6495.851996,58.462667964,211481.9024088183,31764611.202176098,529:24.61
15306,1718634668196.0835,38.1212,498.161,1475.83,13.548,11.366304126049076,6749.085228,60.74176705199999,211542.64417587031,31764620.070959732,529:24.62
15307,1718634668205.0833,34.9,497.931,1448.34,14.0633,11.154586177216833,7002.553032299999,63.02297729069999,211605.66715316102,31764628.939743362,529:24.63
15308,1718634668214.083,34.9,499.603,1383.33,13.1385,10.653902879523706,6564.0340155,59.0763061395,211664.74345930052,31764637.808526993,529:24.64
15309,1718634668223.0828,34.9,502.947,1300.41,11.8241,10.01528329723307,5946.8956227,53.522060604299995,211718.26551990482,31764646.677310627,529:24.65
15310,1718634668232.0825,36.3385,504.308,1234.36,10.6755,9.506590299038464,5383.740054,48.453660486,211766.71918039082,31764655.546094257,529:24.66
15311,1718634668241.0823,40.2987,504.699,1213.63,9.65467,9.346935403465807,4872.70229433,43.854320648969995,211810.5735010398,31764664.41487789,529:24.66
